dream_id,age,gender,profession,emotional_state,dream_description,birth_date,zodiac_sign,dream_category,dream_mood,symbols_identified
DREAM001,25,Female,Teacher,Anxious,"I was walking through a dark forest when suddenly a bright light appeared. A golden snake slithered across my path and transformed into a lotus flower.",1998-05-15,Taurus,Spiritual,Anxious,"forest,snake,light,lotus"
DREAM002,32,Male,Software Engineer,Stressed,"Flying over a vast ocean, I saw my childhood home floating on a cloud. My grandmother was there, smiling and offering me water.",1991-03-22,Aries,Transformation,Peaceful,"ocean,cloud,home,water"
DREAM003,28,Female,Marketing Manager,Excited,"Running through a maze of mirrors, each reflection showed a different version of myself. One was dancing, another writing, another flying.",1995-08-10,Leo,Ambition,Exciting,"mirrors,maze,dancing,flying"
DREAM004,45,Male,Doctor,Worried,"A giant elephant was blocking a hospital entrance. I tried to move it but couldn't. Then it spoke: 'Heal yourself first.'",1978-11-30,Sagittarius,Career,Anxious,"elephant,hospital,speaking"
DREAM005,22,Female,Student,Confused,"Teeth falling out while giving a presentation. Everyone in the audience had no faces, just mirrors where faces should be.",2001-02-14,Aquarius,Fear,Fearful,"teeth,presentation,audience,mirrors"
DREAM006,38,Male,Architect,Peaceful,"Building a temple in the sky with floating stones. Each stone had ancient Sanskrit symbols that glowed in the moonlight.",1985-07-19,Cancer,Spiritual,Peaceful,"temple,stones,sanskrit,moon"
DREAM007,29,Female,Artist,Creative,"Painting with colors that didn't exist. The canvas became a portal to a garden where trees grew upside down and rivers flowed upward.",1994-12-01,Sagittarius,Adventure,Joyful,"painting,garden,trees,rivers"
DREAM008,41,Male,Entrepreneur,Pressured,"Being chased by a giant clock through endless corridors. Time was melting like candles, dripping onto my shoulders.",1982-09-08,Virgo,Stress,Anxious,"clock,corridors,time,melting"
DREAM009,33,Female,Therapist,Empathetic,"A phoenix rose from my heart and flew through seven doors, each door a different color. Behind the last door was my younger self crying.",1990-03-15,Pisces,Transformation,Sad,"phoenix,doors,heart,younger self"
DREAM010,27,Male,Athlete,Frustrated,"Running a marathon underwater while carrying weights shaped like my fears. The finish line kept moving further away.",1996-06-20,Gemini,Fear,Frustrated,"running,water,weights,fears"
DREAM011,35,Female,Lawyer,Overwhelmed,"A courtroom where I was judge, jury, and accused. The walls were made of books that kept falling on me.",1988-10-12,Libra,Stress,Anxious,"courtroom,books,judge,walls"
DREAM012,50,Male,Farmer,Grounded,"The earth opened and revealed a library of roots, each root telling stories of my ancestors. They were all laughing and planting seeds.",1973-04-02,Aries,Spiritual,Peaceful,"earth,roots,library,seeds"
DREAM013,26,Female,Nurse,Compassionate,"Healing wounded animals in a forest where trees had eyes. A deer with golden antlers bowed to me and offered a glowing leaf.",1997-01-25,Aquarius,Relationships,Joyful,"animals,forest,deer,leaf"
DREAM014,44,Male,Professor,Intellectual,"Teaching a class where students dissolved into equations and reformed as constellations. The blackboard became a night sky.",1979-09-16,Virgo,Spiritual,Wonder,"students,equations,constellations,sky"
DREAM015,31,Female,Designer,Inspired,"Fashioning clothes from moonlight and shadow. The garments danced by themselves, telling stories of ancient queens and warriors.",1992-07-07,Cancer,Creativity,Joyful,"clothes,moonlight,shadow,dancing"
DREAM016,39,Male,Engineer,Analytical,"Fixing a machine made of pure light while floating in space. Each repair made a star brighter until the whole galaxy sparkled.",1984-03-29,Aries,Ambition,Exciting,"machine,light,space,stars"
DREAM017,23,Female,Writer,Reflective,"Writing a story that wrote itself back. The pages became birds that carried messages to everyone I'd ever loved.",2000-11-11,Scorpio,Relationships,Peaceful,"writing,pages,birds,messages"
DREAM018,48,Male,Pilot,Adventurous,"Flying an airplane made of crystal through a storm of butterflies. The clouds were made of cotton candy and whispered secrets.",1975-06-14,Gemini,Adventure,Joyful,"airplane,butterflies,clouds,crystal"
DREAM019,30,Female,Yoga Instructor,Centered,"My chakras opened like flowers, each releasing a different color of light that wove together into a rainbow bridge to the stars.",1993-09-23,Virgo,Spiritual,Peaceful,"chakras,flowers,light,rainbow"
DREAM020,42,Male,Chef,Passionate,"Cooking a feast for the universe. Each dish contained memories: my grandmother's kitchen, first love's laughter, children's birthdays.",1981-01-15,Capricorn,Family,Joyful,"cooking,kitchen,memories,feast"
DREAM021,34,Female,Psychologist,Curious,"Analyzing dreams within dreams. Each layer revealed a deeper truth until I reached a core of pure silence where everything was understood.",1989-04-18,Aries,Spiritual,Peaceful,"layers,silence,truth,core"
DREAM022,29,Male,Musician,Melancholic,"Playing a piano underwater while mermaids wept diamonds. The music created shapes in the water that told stories of lost love.",1994-12-24,Capricorn,Relationships,Sad,"piano,water,mermaids,music"
DREAM023,37,Female,Journalist,Determined,"Climbing a mountain of news headlines, each step a truth uncovered. At the summit, the truth was a mirror showing only myself.",1986-08-05,Leo,Career,Determined,"mountain,headlines,mirror,truth"
DREAM024,52,Male,Retired,Reflective,"Sitting under a banyan tree that held all the ages of my life as leaves. Each leaf fell and became a star in the night sky.",1971-10-30,Scorpio,Spiritual,Peaceful,"banyan tree,leaves,stars,ages"
DREAM025,27,Female,Dancer,Energetic,"Dancing with shadows that moved independently. Together we created patterns that painted the room in impossible colors.",1996-04-12,Aries,Creativity,Exciting,"dancing,shadows,patterns,colors"
DREAM026,43,Male,Architect,Creative,"Designing buildings that breathed and grew like trees. The cities became forests where people lived in harmony with nature.",1980-07-21,Cancer,Ambition,Inspired,"buildings,trees,cities,forests"
DREAM027,36,Female,Social Worker,Compassionate,"Holding the world in my hands like a wounded bird. As I breathed love into it, it healed and flew, leaving golden feathers behind.",1987-02-28,Pisces,Spiritual,Joyful,"world,bird,feathers,healing"
DREAM028,24,Male,Student,Anxious,"Taking an exam where the questions were riddles from my childhood. The answers were hidden in moments I'd forgotten.",1999-09-17,Virgo,Fear,Anxious,"exam,questions,childhood,answers"
DREAM029,49,Female,Counselor,Nurturing,"Giving birth to ideas that became butterflies. They flew into the hearts of everyone I'd ever helped, bringing them peace.",1974-03-10,Pisces,Spiritual,Peaceful,"birth,butterflies,hearts,peace"
DREAM030,33,Male,Scientist,Inquisitive,"Discovering a new element made of pure possibility. It changed form based on what people dreamed, becoming their deepest desires.",1990-11-07,Scorpio,Ambition,Wonder,"element,possibility,dreams,desires"
DREAM031,21,Female,Student,Confused,"Walking through a library where books were alive. One book opened and swallowed me, then I became the story being read.",2002-08-19,Leo,Spiritual,Confused,"library,books,story,becoming"
DREAM032,46,Male,Firefighter,Brave,"Fighting fires that burned with memories instead of flames. Each memory I saved became a star in someone's sky.",1977-12-03,Sagittarius,Career,Brave,"fires,memories,stars,saving"
DREAM033,31,Female,Photographer,Artistic,"Taking photos of moments that hadn't happened yet. The camera showed me futures where everyone was living their truth.",1992-05-25,Gemini,Creativity,Exciting,"photos,moments,futures,camera"
DREAM034,40,Male,Accountant,Stressed,"Counting stars that kept rearranging into different numbers. The sky was a spreadsheet that wouldn't balance no matter how I tried.",1983-01-19,Capricorn,Stress,Anxious,"stars,numbers,sky,counting"
DREAM035,28,Female,Actress,Expressive,"Performing every role I'd ever wanted to play simultaneously. The audience was my ancestors, applauding with tears of joy.",1995-06-30,Cancer,Ambition,Joyful,"roles,audience,ancestors,performing"
DREAM036,53,Male,Writer,Contemplative,"Writing a novel that wrote itself. The characters came alive and started writing their own stories within my story.",1970-04-26,Taurus,Creativity,Peaceful,"novel,characters,stories,writing"
DREAM037,35,Female,Doctor,Dedicated,"Surgery where the patient was the universe. Every stitch I made repaired a wound in reality, and stars healed with each suture.",1988-12-15,Sagittarius,Spiritual,Peaceful,"surgery,universe,stars,healing"
DREAM038,26,Male,Programmer,Focused,"Coding in a language of light. Each line of code manifested as architecture in a digital world I was building from scratch.",1997-07-22,Cancer,Ambition,Exciting,"coding,light,digital,world"
DREAM039,44,Female,Environmentalist,Passionate,"Planting seeds that grew into entire ecosystems within seconds. The planet was healing itself through my hands.",1979-09-14,Virgo,Spiritual,Joyful,"seeds,ecosystems,planet,healing"
DREAM040,30,Male,Musician,Inspired,"Creating music that painted the air with colors. The symphony was visible as a living tapestry that everyone could see and feel.",1993-02-19,Aquarius,Creativity,Joyful,"music,colors,tapestry,symphony"
DREAM041,38,Female,Entrepreneur,Determined,"Building a bridge between worlds made entirely of connections between people. Each handshake created another arch of light.",1985-10-25,Scorpio,Ambition,Determined,"bridge,connections,light,worlds"
DREAM042,29,Male,Teacher,Patient,"Teaching a class of stars how to shine. Each star had its own rhythm, and together we created constellations of understanding.",1994-01-12,Capricorn,Spiritual,Peaceful,"stars,class,constellations,shining"
DREAM043,47,Female,Artist,Creative,"Painting on water that refused to mix. The colors danced independently, creating mandalas that spun into infinity.",1976-06-08,Gemini,Creativity,Peaceful,"water,painting,mandalas,colors"
